Preliminary Category,"Category (Users, Enablers, Stewards)",Organisation,Notes,Official Name,Company Number,Company Website,UK Postcode
International bodies/cheerleaders,Data Stewards,Eurostat,,EUROSTAT LTD.,03403255,https://ec.europa.eu/eurostat,
International bodies/cheerleaders,Data Stewards,OECD,,,,https://www.oecd.org/unitedkingdom/,
International bodies/cheerleaders,Data Stewards,Open Government Partnership,,,,https://www.opengovpartnership.org/,
International bodies/cheerleaders,Data Stewards,Tenders Electronic Daily,,,,https://ted.europa.eu/TED/main/HomePage.do,
International bodies/cheerleaders,Data Stewards,D5/Digital Nations,,,,https://www.leadingdigitalgovs.org/,
International bodies/cheerleaders,Data Stewards,United Nations Statistics Division,,,,https://unstats.un.org,
International bodies/cheerleaders,Data Stewards,UN-GGIM (United Nations Comittee of Experts on Global Geospatial Information Management),,,,,
International bodies/cheerleaders,Data Stewards,Eurogeographics,,,,,
International bodies/cheerleaders,Data Stewards,W3C,,,,,
International bodies/cheerleaders,Data Stewards,ISO,,,,,
International bodies/cheerleaders,Data Stewards,UN Global Pulse,,,,,
International bodies/cheerleaders,Data Stewards,European Environmental Agency,,,,,
Data regulators,Data Stewards,Information Commissioner's Office (ICO),,,,https://ico.org.uk/,SK9 5AF
Data regulators,Data Stewards,Scottish Information Commissioner,,,,,KY16 9DS
Data regulators,Data Stewards,Competition and Markets Authority,,,,,E14 4QZ
Data regulators,Data Stewards,Office for Statistics Regulation (OSR),,,,,SW1V 2QQ
Data regulators,Data Stewards,Regulators and AI working group,,,,,
Data regulators,Data Stewards,Digital Regulation Cooperation Forum,,,,,
Data regulators,Data Stewards,Regulatory Horizons Council,,,,,
Official statistics,Data Stewards,UK data service,,UK DATA SERVICES LIMITED,012633833,,
Official statistics,Data Stewards,Office for Statistics Regulation,,,,,
Official statistics,Data Stewards,National Statistician,,,,,
Official statistics,Data Stewards,UK Statistics Authority,,,,,SW1V 2QQ
Official statistics,Data Stewards,Office for National Statistics,,,,,"NP10 8XG,PO15 5RR,SW1V 2QQ"
Official statistics,Data Stewards,Government Statistical Service (GSS),,,,https://gss.civilservice.gov.uk/ ,
Official statistics,Data Stewards,Government Statistics Group (GSG),,,,,
Official statistics,Data Stewards,ONS Data Science Campus,,,,https://datasciencecampus.ons.gov.uk/,NP10 8XG
Official statistics,Data Stewards,HR officers,,,,,
Official statistics,Data Stewards,Government Data Quality Hub,,,,,
Professions,Data Stewards,Cross-government communities (eg GDSP),,,,,
Professions,Data Stewards,Data Publishers Network,,,,,
Professions,Data Stewards,Departmental transparency/Open Government Partnership (OGP) leads,,,,,
Professions,Data Stewards,Data Science Accelerator,,,,,
Professions,Data Stewards,Cross-government AI community,,,,,
Professions,Data Stewards,Directors of Analysis Group,,,,,
Professions,Data Stewards,Government Social Research (GSR),,,,,
Professions,Data Stewards,Government Operational Research Service (GORS),,,,,
Professions,Data Stewards,Government Economic Service (GES),,,,,SW1A 2HQ
Professions,Data Stewards,Government Knowledge and Information Management (GKIM),,,,,
Professions,Data Stewards,Government Data Science Partnership (GDSP),,,,,
Professions,Data Stewards,Departmental stats/analysis teams,,,,,
Professions,Data Stewards,Communications officers (Government Communication Service),,,,,
Professions,Data Stewards,HR officers,,,,,
Professions,Data Stewards,"Other professions - e.g. Policy, Operational Delivery, Project Delivery",,,,,
