Preliminary Category,"Category (Users, Enablers, Stewards)",Organisation,Notes,Official Name,Company Number,Company Website,UK Postcode,Bio,Organisation type,Primary role,Sector
,,Clinical Practice Research Datalink,,,,https://www.cprd.com/,SW1H 0EU,"""Clinical Practice Research Datalink (CPRD) is a real-world research service supporting retrospective and prospective public health and clinical studies. CPRD is jointly sponsored by the Medicines and Healthcare products Regulatory Agency and the National Institute for Health Research (NIHR), as part of the Department of Health and Social Care""",Collaboration,1. Facilitating safe access,"Healthcare & Pharmaceuticals,Science & Research"
,,Driver and Vehicle Licensing Agency (DVLA),,,,https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency,"SA6 7JL,SA99 1AR,SA99 1TU,SA99 1AJ","""We’re the Driver and Vehicle Licensing Agency (DVLA), holding more than 49 million driver records and more than 40 million vehicle records. We collect around £6 billion a year in vehicle excise duty (VED).""",Public Sector,1. Facilitating safe access,Transport & Logistics
,,Financial Conduct Authority (FCA),,,,https://www.fca.org.uk/about,E20 1JN,"""We aim to make financial markets work well so that consumers get a fair deal""",Public Sector,1. Facilitating safe access,Finance & Insurance
,,GeoPlace,,,,https://www.geoplace.co.uk/about,SW1W 9SZ,"""Excellent addressing and accurate street data has the power to transform people’s lives. In Great Britain, GeoPlace is the guardian and champion of that information on a national scale.""",Private Sector,1. Facilitating safe access,Geospatial & Mapping
,,Health Data Insight,,,,https://healthdatainsight.org.uk/,CB21 5XE,"""Health Data Insight is a social enterprise overseen by the Office of the Regulator of Community Interest Companies which ensures we meet our social purpose and that the value we create is protected and used for social good.""",Third Sector,1. Facilitating safe access,"Healthcare & Pharmaceuticals,Science & Research"
,,HM Land Registry,,,,https://www.gov.uk/government/organisations/land-registry,"GL14 9BB,GL14 9BD,PL5 9BY,DH1 9LR,CR90 9NU,GL14 9BQ","""We register the ownership of land and property in England and Wales.""",Public Sector,1. Facilitating safe access,Geospatial & Mapping
,,HM Revenue and Customs,,,,https://www.gov.uk/government/organisations/hm-revenue-customs,"NE98 1ZZ,NE88 1AA","""We are the UK’s tax, payments and customs authority, and we have a vital purpose: we collect the money that pays for the UK’s public services and help families and individuals with targeted financial support.""",Public Sector,1. Facilitating safe access,"""Business Services (inc. Legal, Consulting & Support)"",Public Administration"
,,INSIGHT Hub,,,,https://www.insight.hdrhub.org/,,"""INSIGHT is an NHS-led partnership established to improve healthcare by encouraging research using routinely collected eye data.""",Third Sector,1. Facilitating safe access,"Healthcare & Pharmaceuticals,Science & Research"
,,National Crime Agency,,,,https://www.nationalcrimeagency.gov.uk/,"SE11 5EF,SE11 5EN,NW1W 9JJ","""The National Crime Agency leads the UK’s fight to cut serious and organised crime, protecting the public by targeting and pursuing those criminals who pose the greatest risk to the UK.""",Public Sector,1. Facilitating safe access,"Public Administration,Other"
,,NHS Digital (Health and Social Care Information Centre),Locations from https://digital.nhs.uk/about-nhs-digital/contact-us/our-locations,,,https://digital.nhs.uk/data-and-information/data-collections-and-data-sets/data-sets,"LS1 4AP,EX2 5SE,SE1 6LH,PR8 2HH","""We are the national information and technology partner to the health and social care system. We're using digital technology to transform the NHS and social care.""",Third Sector,1. Facilitating safe access,"Healthcare & Pharmaceuticals,Science & Research"
,,Public Health England,,,,https://www.gov.uk/government/organisations/public-health-england,"SE1 8UG,LS1 4PL,EC4Y 8AE,BS1 6EH,B3 2PW ","""We exist to protect and improve the nation’s health and wellbeing, and reduce health inequalities.""",Public Sector,1. Facilitating safe access,Healthcare & Pharmaceuticals
,,SAIL Databank,Location from https://saildatabank.com/contact/,,,https://saildatabank.com/,SA2 8PP,"""SAIL Databank has 10 years’ experience as a leader in the field of data linkage and giving researchers secure remote access to anonymised extracts of datasets drawing upon billions of de-identified person-based population, health and social care data records.""",Third Sector,1. Facilitating safe access,"Healthcare & Pharmaceuticals,Science & Research"
,,Serious Fraud Office,,,,https://www.sfo.gov.uk/,SW1Y 5BS,"""The SFO is a specialist prosecuting authority tackling the top level of serious or complex fraud, bribery and corruption.""",Public Sector,1. Facilitating safe access,"Public Administration,Other"
,,UK Biobank,Locations from https://www.ukbiobank.ac.uk/learn-more-about-uk-biobank/contact-us,,4978912,https://www.ukbiobank.ac.uk/,"SK3 0SA,RG31 7SD,BS34 6FE,NE6 1AS,CF14 4YS,OX3 7LF","""UK Biobank is a large-scale biomedical database and research resource, containing in-depth genetic and health information from half a million UK participants. The database is regularly augmented with additional data and is globally accessible to approved researchers undertaking vital research into the most common and life-threatening diseases. It is a major contributor to the advancement of modern medicine and treatment and has enabled several scientific discoveries that improve human health.""",Third Sector,1. Facilitating safe access,"Healthcare & Pharmaceuticals,Science & Research"
,,Civil Aviation Authority (CAA),Locations from https://www.caa.co.uk/Our-work/About-us/Contact-us/,,,https://www.caa.co.uk/Our-work/About-us/Our-role/,"RH6 0YR,E14 4HD","""The UK's specialist aviation regulator""",Third Sector,2. Generating insights,Transport & Logistics
,,Construction Data Trust,No obvious address,,,https://www.datatrust.construction/about-us/,,"""The construction data trust has been established to help transform how we deliver construction projects. It enables us to use the huge amounts of data that comes from projects.""",Collaboration,2. Generating insights,Built Environment
,,Crediva,,,06567484,https://www.crediva.co.uk/,CF11 0SN,"""Crediva Limited is a LexisNexis Risk Solutions company, (part of RELX Group) and is a leader in providing essential information to help customers across industry and government assess, predict and manage risk. LexisNexis Risk Solutions customers span a range of market sectors including: communications, financial services, healthcare, government, insurance, retail, utilities and debt collection.""",Private Sector,2. Generating insights,Finance & Insurance
